scope;key;label;required;nl;fr;en;de;es;pl;pt;tr;el
CATALOG;catalog.brochure.custom.stepone.body;Custom step one body;true;Selecteer de familie, kleuren, maten en presentatie die bij uw kanaal passen.;Sélectionnez la famille, les couleurs, tailles et présentations adaptées à votre canal.;Select the family, colours, sizes and presentation that suit your channel.;Wählen Sie Familie, Farben, Größen und Präsentation passend zu Ihrem Kanal.;Selecciona la familia, colores, tamaños y presentación adecuados para tu canal.;Wybierz rodzinę, kolory, rozmiary i prezentację pasujące do kanału.;Selecione a família, cores, tamanhos e apresentação adequados ao seu canal.;Kanalınıza uygun aileyi, renkleri, boyutları ve sunumu seçin.;Επιλέξτε τη σειρά, τα χρώματα, τα μεγέθη και την παρουσίαση που ταιριάζουν στο κανάλι σας.
CATALOG;catalog.brochure.custom.steptwo.title;Custom step two title;true;Stel samen;Composer;Compose;Zusammenstellen;Componer;Skomponuj;Compor;Oluştur;Συνθέστε
CATALOG;catalog.brochure.custom.steptwo.body;Custom step two body;true;Bespreek sleeves, labels, counterdisplays, omdoosconfiguratie en geschenkdetails.;Discutez des étuis, étiquettes, présentoirs, cartons et détails cadeaux.;Discuss sleeves, labels, counter displays, carton configuration and gifting details.;Besprechen Sie Banderolen, Etiketten, Thekendisplays, Kartonkonfiguration und Geschenkdetails.;Define fundas, etiquetas, expositores, configuración de cajas y detalles de regalo.;Omów obwoluty, etykiety, ekspozytory, konfigurację kartonów i detale prezentowe.;Defina mangas, etiquetas, expositores, configuração de caixas e detalhes de presente.;Kılıfları, etiketleri, tezgâh standlarını, koli düzenini ve hediye detaylarını görüşün.;Συζητήστε θήκες, ετικέτες, σταντ πάγκου, διάταξη κιβωτίων και λεπτομέρειες δώρου.
CATALOG;catalog.brochure.custom.stepthree.title;Custom step three title;true;Bevestig;Confirmer;Confirm;Bestätigen;Confirmar;Potwierdź;Confirmar;Onayla;Επιβεβαιώστε
CATALOG;catalog.brochure.custom.stepthree.body;Custom step three body;true;Ontvang de exacte offerte, visuele richting, minimumhoeveelheid en leverplanning.;Recevez le devis exact, la direction visuelle, la quantité minimale et le planning de livraison.;Receive the exact quote, visual direction, minimum quantity and delivery plan.;Erhalten Sie das genaue Angebot, die visuelle Richtung, Mindestmenge und Lieferplanung.;Recibe el presupuesto exacto, la dirección visual, la cantidad mínima y el plan de entrega.;Otrzymaj dokładną ofertę, kierunek wizualny, minimum i plan dostawy.;Receba o orçamento exato, direção visual, quantidade mínima e plano de entrega.;Kesin teklifi, görsel yönü, minimum miktarı ve teslimat planını alın.;Λάβετε την ακριβή προσφορά, την οπτική πρόταση, την ελάχιστη ποσότητα και το πλάνο παράδοσης.
CATALOG;catalog.brochure.custom.footer;Customisation footer;true;PERSONALISATIE;PERSONNALISATION;CUSTOMISATION;INDIVIDUALISIERUNG;PERSONALIZACIÓN;PERSONALIZACJA;PERSONALIZAÇÃO;ÖZELLEŞTİRME;ΠΡΟΣΑΡΜΟΓΗ
CATALOG;catalog.brochure.custom.pagelabel;Private label page label;true;PRIVATE LABEL;MARQUE PRIVÉE;PRIVATE LABEL;PRIVATE LABEL;MARCA PRIVADA;MARKA WŁASNA;MARCA PRÓPRIA;ÖZEL MARKA;ΙΔΙΩΤΙΚΗ ΕΤΙΚΕΤΑ
CATALOG;catalog.brochure.order.eyebrow;Ordering eyebrow;true;HOE BESTELLEN;COMMENT COMMANDER;HOW TO ORDER;SO BESTELLEN SIE;CÓMO PEDIR;JAK ZAMAWIAĆ;COMO ENCOMENDAR;NASIL SİPARİŞ VERİLİR;ΠΩΣ ΝΑ ΠΑΡΑΓΓΕΙΛΕΤΕ
CATALOG;catalog.brochure.order.title;Ordering title;true;Van selectie tot levering.;De la sélection à la livraison.;From selection to delivery.;Von der Auswahl bis zur Lieferung.;De la selección a la entrega.;Od wyboru do dostawy.;Da seleção à entrega.;Seçimden teslimata.;Από την επιλογή στην παράδοση.
CATALOG;catalog.brochure.order.body;Ordering body;true;Stuur de geselecteerde SKU's en aantallen. ENROSED bevestigt beschikbaarheid, prijs, vracht, levertijd en het praktische leverplan vóór de order definitief is.;Envoyez les SKU et quantités sélectionnées. ENROSED confirme la disponibilité, le prix, le transport, le délai et le plan de livraison avant validation.;Send the selected SKUs and quantities. ENROSED confirms availability, pricing, freight, lead time and the practical delivery plan before the order is final.;Senden Sie die ausgewählten SKUs und Mengen. ENROSED bestätigt Verfügbarkeit, Preis, Fracht, Lieferzeit und Lieferplan vor Abschluss.;Envía las SKU y cantidades. ENROSED confirma disponibilidad, precio, transporte, plazo y plan de entrega antes de cerrar el pedido.;Wyślij wybrane SKU i ilości. ENROSED potwierdzi dostępność, cenę, transport, termin i plan dostawy przed finalizacją.;Envie os SKU e quantidades. A ENROSED confirma disponibilidade, preço, transporte, prazo e plano de entrega antes da finalização.;Seçilen SKU ve miktarları gönderin. ENROSED sipariş kesinleşmeden stok, fiyat, nakliye, süre ve teslimat planını teyit eder.;Στείλτε τους επιλεγμένους κωδικούς SKU και τις ποσότητες. Η ENROSED επιβεβαιώνει διαθεσιμότητα, τιμές, μεταφορικά, χρόνο και πρακτικό πλάνο παράδοσης πριν οριστικοποιηθεί η παραγγελία.
CATALOG;catalog.brochure.order.stepone.title;Order step one title;true;Selecteer;Sélectionner;Select;Auswählen;Seleccionar;Wybierz;Selecionar;Seç;Επιλέξτε
CATALOG;catalog.brochure.order.stepone.body;Order step one body;true;Gebruik deze brochure om de exacte productfamilies en kleur- of maatvarianten te kiezen.;Utilisez cette brochure pour choisir les familles et variantes exactes.;Use this brochure to choose the exact product families and colour or size variants.;Nutzen Sie diese Broschüre zur Auswahl der Produktfamilien und Varianten.;Usa este folleto para elegir las familias y variantes exactas.;Użyj broszury, aby wybrać dokładne rodziny i warianty.;Use esta brochura para escolher as famílias e variantes exatas.;Tam ürün ailelerini ve renk veya boyut varyantlarını seçmek için bu broşürü kullanın.;Χρησιμοποιήστε αυτόν τον κατάλογο για να επιλέξετε τις ακριβείς σειρές προϊόντων και τις παραλλαγές χρώματος ή μεγέθους.
CATALOG;catalog.brochure.order.steptwo.title;Order step two title;true;Offerte;Devis;Quote;Angebot;Presupuesto;Oferta;Orçamento;Teklif;Προσφορά
CATALOG;catalog.brochure.order.steptwo.body;Order step two body;true;Wij maken een actuele offerte voor de gevraagde mix, het volume en de bestemming.;Nous préparons un devis actuel pour la combinaison, le volume et la destination.;We prepare a current quotation for the requested mix, volume and destination.;Wir erstellen ein aktuelles Angebot für Mix, Volumen und Zielort.;Preparamos un presupuesto actualizado para la combinación, volumen y destino.;Przygotujemy aktualną ofertę dla zestawu, wolumenu i miejsca dostawy.;Preparamos um orçamento atual para a combinação, volume e destino.;İstenen ürün karması, hacim ve varış noktası için güncel teklif hazırlarız.;Ετοιμάζουμε επικαιροποιημένη προσφορά για το ζητούμενο μείγμα, την ποσότητα και τον προορισμό.
CATALOG;catalog.brochure.order.stepthree.title;Order step three title;true;Lever;Livrer;Deliver;Liefern;Entregar;Dostawa;Entregar;Teslim et;Παράδοση
CATALOG;catalog.brochure.order.stepthree.body;Order step three body;true;Na bevestiging worden producten voorbereid en verzonden volgens het overeengekomen plan.;Après confirmation, les produits sont préparés et expédiés selon le plan convenu.;After confirmation, products are prepared and shipped according to the agreed plan.;Nach Bestätigung werden die Produkte gemäß Plan vorbereitet und versendet.;Tras la confirmación, los productos se preparan y envían según el plan acordado.;Po potwierdzeniu produkty są przygotowywane i wysyłane zgodnie z planem.;Após confirmação, os produtos são preparados e enviados segundo o plano acordado.;Onaydan sonra ürünler kararlaştırılan plana göre hazırlanır ve gönderilir.;Μετά την επιβεβαίωση, τα προϊόντα προετοιμάζονται και αποστέλλονται σύμφωνα με το συμφωνημένο πλάνο.
CATALOG;catalog.brochure.order.note;Ordering note;true;Handelsprijzen, voorraad en levertijden kunnen wijzigen. Productinformatie in deze export is de actuele basis. Uw offerte bevestigt de commerciële voorwaarden.;Les prix professionnels, le stock et les délais peuvent changer. Les informations de cet export constituent la base actuelle. Votre devis confirme les conditions commerciales.;Trade prices, stock and lead times can change. Product information in this export is the current basis. Your quotation confirms the commercial terms for the order.;Handelspreise, Bestand und Lieferzeiten können sich ändern. Die Produktinformationen dieses Exports sind die aktuelle Grundlage. Ihr Angebot bestätigt die Konditionen.;Los precios profesionales, el stock y los plazos pueden cambiar. La información de esta exportación es la base actual. El presupuesto confirma las condiciones.;Ceny hurtowe, stan i terminy mogą się zmieniać. Dane w eksporcie są aktualną podstawą. Oferta potwierdza warunki handlowe.;Preços profissionais, stock e prazos podem mudar. A informação desta exportação é a base atual. O orçamento confirma as condições.;Toptan fiyatlar, stok ve süreler değişebilir. Bu dışa aktarımdaki bilgiler güncel temeldir. Teklif ticari koşulları doğrular.;Οι τιμές χονδρικής, το απόθεμα και οι χρόνοι παράδοσης μπορεί να αλλάξουν. Τα στοιχεία προϊόντων αυτής της εξαγωγής αποτελούν την τρέχουσα βάση. Η προσφορά επιβεβαιώνει τους εμπορικούς όρους της παραγγελίας.
CATALOG;catalog.brochure.order.footer;Ordering footer;true;HOE BESTELLEN;COMMENT COMMANDER;HOW TO ORDER;SO BESTELLEN SIE;CÓMO PEDIR;JAK ZAMAWIAĆ;COMO ENCOMENDAR;NASIL SİPARİŞ VERİLİR;ΠΩΣ ΝΑ ΠΑΡΑΓΓΕΙΛΕΤΕ
CATALOG;catalog.brochure.order.pagelabel;Contact page label;true;CONTACT;CONTACT;CONTACT;KONTAKT;CONTACTO;KONTAKT;CONTACTO;İLETİŞİM;ΕΠΙΚΟΙΝΩΝΙΑ
CATALOG;catalog.brochure.back.title;Back cover title;true;Gemaakt om lang mee te gaan. Klaar voor retail.;Conçu pour durer. Prêt pour le commerce.;Made to last. Ready for retail.;Für Dauer gemacht. Bereit für den Handel.;Hecho para durar. Listo para retail.;Stworzone, by trwać. Gotowe do sprzedaży.;Feito para durar. Pronto para o retalho.;Kalıcı olmak için üretildi. Perakendeye hazır.;Σχεδιασμένα να διαρκούν. Έτοιμα για λιανική.
CATALOG;catalog.brochure.back.body;Back cover body;true;Gepreserveerde en decoratieve rozen voor geschenken, displays en groothandelsprogramma's.;Roses préservées et décoratives pour cadeaux, présentoirs et programmes professionnels.;Preserved and decorative roses designed for gifting, display and wholesale programmes.;Konservierte und dekorative Rosen für Geschenke, Displays und Großhandelsprogramme.;Rosas preservadas y decorativas para regalos, exposición y programas mayoristas.;Róże stabilizowane i dekoracyjne do prezentów, ekspozycji i programów hurtowych.;Rosas preservadas e decorativas para presentes, exposição e programas grossistas.;Hediye, teşhir ve toptan programlar için korunmuş ve dekoratif güller.;Διατηρημένα και διακοσμητικά τριαντάφυλλα για δώρα, παρουσιάσεις και προγράμματα χονδρικής.
CATALOG;catalog.spec.title;Specification block title;true;Specificaties;Caractéristiques;Specifications;Spezifikationen;Especificaciones;Specyfikacja;Especificações;Teknik özellikler;Προδιαγραφές
CATALOG;catalog.spec.itemnumber;Spec: item number;true;Artikelnummer;Référence;Item number;Artikelnummer;Referencia;Numer artykułu;Referência;Ürün kodu;Κωδικός είδους
CATALOG;catalog.spec.productsize;Spec: product size;true;Productmaat;Dimensions du produit;Product size;Produktmaß;Medidas del producto;Wymiary produktu;Dimensões do produto;Ürün ölçüsü;Διαστάσεις προϊόντος
CATALOG;catalog.spec.weight;Spec: weight;true;Gewicht per stuk;Poids par pièce;Weight per piece;Gewicht pro Stück;Peso por unidad;Waga sztuki;Peso por unidade;Adet ağırlığı;Βάρος ανά τεμάχιο
CATALOG;catalog.spec.packaging;Spec: packaging;true;Verpakking;Emballage;Packaging;Verpackung;Embalaje;Opakowanie;Embalagem;Ambalaj;Συσκευασία
CATALOG;catalog.spec.outercarton;Spec: outer carton;true;Omdoos;Carton extérieur;Outer carton;Umkarton;Caja exterior;Karton zbiorczy;Caixa exterior;Dış koli;Εξωτερικό κιβώτιο
CATALOG;catalog.spec.piecespercarton;Spec: pieces per carton;true;Stuks per omdoos;Pièces par carton;Pieces per carton;Stück pro Umkarton;Unidades por caja;Sztuk w kartonie;Unidades por caixa;Koli başına adet;Τεμάχια ανά κιβώτιο
CATALOG;catalog.spec.cartonweight;Spec: carton weight;true;Gewicht per omdoos;Poids par carton;Weight per carton;Gewicht pro Umkarton;Peso por caja;Waga kartonu;Peso por caixa;Koli ağırlığı;Βάρος ανά κιβώτιο
CATALOG;catalog.spec.cartonvolume;Spec: carton volume;true;Volume per omdoos;Volume par carton;Volume per carton;Volumen pro Umkarton;Volumen por caja;Objętość kartonu;Volume por caixa;Koli hacmi;Όγκος ανά κιβώτιο
CATALOG;catalog.spec.container;Spec: pieces per container;true;Stuks per 40ft HC-container;Pièces par conteneur 40' HC;Pieces per 40ft HC container;Stück pro 40-Fuß-HC-Container;Unidades por contenedor 40' HC;Sztuk w kontenerze 40' HC;Unidades por contentor 40' HC;40ft HC konteyner başına adet;Τεμάχια ανά εμπορευματοκιβώτιο 40ft HC
CATALOG;catalog.spec.container20ft;Spec: manual or calculated pieces per 20ft GP container;true;Stuks per 20ft GP-container;Pièces par conteneur 20' GP;Pieces per 20ft GP container;Stück pro 20-Fuß-GP-Container;Unidades por contenedor 20' GP;Sztuk w kontenerze 20' GP;Unidades por contentor 20' GP;20ft GP konteyner başına adet;Τεμάχια ανά εμπορευματοκιβώτιο 20ft GP
CATALOG;catalog.spec.hscode;Spec: HS code;true;HS-code;Code SH;HS code;HS-Code;Código HS;Kod HS;Código HS;GTİP kodu;Κωδικός HS
CATALOG;catalog.spec.colours;Spec: colours;true;Kleuren;Couleurs;Colours;Farben;Colores;Kolory;Cores;Renkler;Χρώματα
CATALOG;catalog.spec.sizes;Spec: sizes;true;Maten;Tailles;Sizes;Größen;Tamaños;Rozmiary;Tamanhos;Boyutlar;Μεγέθη
CATALOG;catalog.brochure.overview.page;Page reference label;true;Pagina;Page;Page;Seite;Página;Strona;Página;Sayfa;Σελίδα
CATALOG;catalog.brochure.cover.contents;Cover contents title;true;Inhoud;Sommaire;Contents;Inhalt;Índice;Spis treści;Índice;İçindekiler;Περιεχόμενα
CATALOG;catalog.brochure.overview.detailhint;Overview detail hint;true;Details en specificaties op de vermelde pagina.;Détails et spécifications à la page indiquée.;Details and specifications on the page shown.;Details und Spezifikationen auf der genannten Seite.;Detalles y especificaciones en la página indicada.;Szczegóły i specyfikacje na podanej stronie.;Detalhes e especificações na página indicada.;Ayrıntılar ve özellikler belirtilen sayfada.;Λεπτομέρειες και προδιαγραφές στη σελίδα που αναφέρεται.
CATALOG;catalog.brochure.range.cbm;Range table m³ column;true;m³ per omdoos;m³ par carton;m³ per carton;m³ pro Umkarton;m³ por caja;m³ na karton;m³ por caixa;Koli başına m³;m³ ανά κιβώτιο
CATALOG;catalog.brochure.range.container;Range table 40ft HC column;true;Per 40' HC;Par 40' HC;Per 40' HC;Pro 40' HC;Por 40' HC;Na 40' HC;Por 40' HC;40' HC başına;Ανά 40' HC
CATALOG;catalog.brochure.range.container20ft;Range table 20ft GP capacity;true;Per 20' GP;Par 20' GP;Per 20' GP;Pro 20' GP;Por 20' GP;Na 20' GP;Por 20' GP;20' GP başına;Ανά 20' GP
CATALOG;catalog.brochure.range.legend;Range table legend;true;Stippen tonen de beschikbare kleuren. Maten, EAN-codes en gewichten per uitvoering staan op de productpagina.;Les points indiquent les couleurs disponibles. Tailles, codes EAN et poids par variante figurent sur la page produit.;Dots show the available colours. Sizes, EAN codes and weights per variant are on the product page.;Punkte zeigen die verfügbaren Farben. Größen, EAN-Codes und Gewichte je Ausführung stehen auf der Produktseite.;Los puntos muestran los colores disponibles. Tamaños, códigos EAN y pesos por variante están en la página del producto.;Kropki pokazują dostępne kolory. Rozmiary, kody EAN i wagi wariantów znajdują się na stronie produktu.;Os pontos mostram as cores disponíveis. Tamanhos, códigos EAN e pesos por variante estão na página do produto.;Noktalar mevcut renkleri gösterir. Varyant başına boyutlar, EAN kodları ve ağırlıklar ürün sayfasındadır.;Οι κουκκίδες δείχνουν τα διαθέσιμα χρώματα. Μεγέθη, κωδικοί EAN και βάρη ανά παραλλαγή εμφανίζονται στη σελίδα του προϊόντος.
CATALOG;catalog.brochure.range.price;Range table price column;true;Prijs / st.;Prix / pc;Price / pc;Preis / Stk.;Precio / ud.;Cena / szt.;Preço / un.;Adet fiyatı;Τιμή / τεμ.
CATALOG;catalog.brochure.range.sizepack;Range table size and pack column;true;Maat & verpakking;Taille & conditionnement;Size & pack;Maß & Verpackung;Tamaño y embalaje;Rozmiar i opakowanie;Tamanho e embalagem;Boyut ve paket;Μέγεθος και συσκευασία
CATALOG;catalog.brochure.range.logistics;Range table carton and logistics column;true;Omdoos & logistiek;Carton & logistique;Carton & logistics;Umkarton & Logistik;Caja y logística;Karton i logistyka;Caixa e logística;Koli ve lojistik;Κιβώτιο και μεταφορά
CATALOG;catalog.brochure.atelier.title;Atelier title;true;Uw merk. Onze rozen.;Votre marque. Nos roses.;Your brand. Our roses.;Ihre Marke. Unsere Rosen.;Su marca. Nuestras rosas.;Twoja marka. Nasze róże.;A sua marca. As nossas rosas.;Markanız. Güllerimiz.;Η επωνυμία σας. Τα τριαντάφυλλά μας.
CATALOG;catalog.brochure.atelier.body;Atelier introduction;true;Geef uw assortiment een eigen uitstraling. Voor geselecteerde producten stemmen we kleur, verpakking en presentatie af op uw merk.;Donnez une identité propre à votre assortiment. Pour une sélection de produits, nous adaptons les couleurs, les emballages et la présentation à votre marque.;Give your range a distinctive identity. For selected products, we align colour, packaging and presentation with your brand.;Verleihen Sie Ihrem Sortiment einen unverwechselbaren Auftritt. Bei ausgewählten Produkten stimmen wir Farbe, Verpackung und Präsentation auf Ihre Marke ab.;Dé a su surtido una identidad propia. En una selección de productos, adaptamos el color, el embalaje y la presentación a su marca.;Nadaj swojemu asortymentowi własny charakter. W przypadku wybranych produktów dopasowujemy kolor, opakowanie i sposób prezentacji do Twojej marki.;Dê à sua gama uma identidade própria. Para produtos selecionados, adaptamos a cor, a embalagem e a apresentação à sua marca.;Ürün yelpazenize özgün bir kimlik kazandırın. Seçili ürünlerde renk, ambalaj ve sunumu markanıza uygun hâle getiriyoruz.;Δώστε στη γκάμα σας ξεχωριστή ταυτότητα. Για επιλεγμένα προϊόντα, προσαρμόζουμε το χρώμα, τη συσκευασία και την παρουσίαση στην επωνυμία σας.
CATALOG;catalog.brochure.atelier.caption;Atelier image caption;true;Verpakkingsconcept ter inspiratie.;Concept d’emballage à titre d’inspiration.;Packaging concept for inspiration.;Verpackungskonzept zur Inspiration.;Concepto de embalaje como inspiración.;Koncepcja opakowania jako inspiracja.;Conceito de embalagem para inspiração.;İlham amaçlı ambalaj konsepti.;Πρόταση συσκευασίας για έμπνευση.
CATALOG;catalog.brochure.atelier.one.title;Atelier step one title;true;Kleur & formaat;Couleur & format;Colour & format;Farbe & Format;Color y formato;Kolor i format;Cor e formato;Renk ve boyut;Χρώμα και μέγεθος
CATALOG;catalog.brochure.atelier.one.body;Atelier step one body;true;Kies de producten en kleuren die bij uw collectie passen.;Choisissez les produits et les couleurs qui correspondent à votre collection.;Choose the products and colours that suit your collection.;Wählen Sie die Produkte und Farben, die zu Ihrer Kollektion passen.;Elija los productos y colores que encajen en su colección.;Wybierz produkty i kolory pasujące do Twojej kolekcji.;Escolha os produtos e as cores que se adequam à sua coleção.;Koleksiyonunuza uygun ürünleri ve renkleri seçin.;Επιλέξτε τα προϊόντα και τα χρώματα που ταιριάζουν στη συλλογή σας.
CATALOG;catalog.brochure.atelier.two.title;Atelier step two title;true;Verpakking & merk;Emballage & marque;Packaging & brand;Verpackung & Marke;Embalaje y marca;Opakowanie i marka;Embalagem e marca;Ambalaj ve marka;Συσκευασία και επωνυμία
CATALOG;catalog.brochure.atelier.two.body;Atelier step two body;true;Bespreek doos, lint, bedrukking en de presentatie van uw logo.;Échangeons sur la boîte, le ruban, l’impression et la mise en valeur de votre logo.;Discuss the box, ribbon, print and presentation of your logo.;Besprechen Sie mit uns die Schachtel, das Band, den Druck und die Platzierung Ihres Logos.;Comente con nosotros la caja, la cinta, la impresión y la presentación de su logotipo.;Omów z nami pudełko, wstążkę, nadruk i sposób prezentacji Twojego logo.;Fale connosco sobre a caixa, a fita, a impressão e a apresentação do seu logótipo.;Kutu, kurdele, baskı ve logonuzun sunumunu birlikte değerlendirelim.;Συζητήστε μαζί μας για το κουτί, την κορδέλα, την εκτύπωση και την παρουσίαση του λογοτύπου σας.
CATALOG;catalog.brochure.atelier.three.title;Atelier step three title;true;Samen afgestemd;Défini ensemble;Agreed together;Gemeinsam abgestimmt;Lo acordamos juntos;Wspólne ustalenia;Acordado em conjunto;Birlikte kararlaştırılır;Συμφωνούμε μαζί
CATALOG;catalog.brochure.atelier.three.body;Atelier step three body;true;Mogelijkheden, aantallen en planning worden vooraf bevestigd.;Les possibilités, les quantités et le calendrier sont confirmés au préalable.;Options, quantities and timing are confirmed in advance.;Möglichkeiten, Mengen und Zeitplan werden im Voraus bestätigt.;Las opciones, las cantidades y los plazos se confirman de antemano.;Możliwości, ilości i harmonogram potwierdzamy z wyprzedzeniem.;As opções, as quantidades e os prazos são confirmados antecipadamente.;Seçenekler, miktarlar ve takvim önceden teyit edilir.;Οι δυνατότητες, οι ποσότητες και το χρονοδιάγραμμα επιβεβαιώνονται εκ των προτέρων.
CATALOG;catalog.brochure.buying.title;Buying title;true;Uw volgende collectie begint hier.;Votre prochaine collection commence ici.;Your next collection starts here.;Ihre nächste Kollektion beginnt hier.;Su próxima colección empieza aquí.;Twoja kolejna kolekcja zaczyna się tutaj.;A sua próxima coleção começa aqui.;Bir sonraki koleksiyonunuz burada başlıyor.;Η επόμενη συλλογή σας ξεκινά εδώ.
CATALOG;catalog.brochure.buying.body;Buying introduction;true;Van een eerste selectie naar een voorstel voor uw bedrijf. We bevestigen de beschikbaarheid, prijzen en levering voordat u bestelt.;De votre première sélection à une proposition pour votre entreprise. Nous confirmons la disponibilité, les prix et la livraison avant votre commande.;From your first selection to a proposal for your business. We confirm availability, prices and delivery before you order.;Von Ihrer ersten Auswahl zu einem Angebot für Ihr Unternehmen. Wir bestätigen Verfügbarkeit, Preise und Lieferung, bevor Sie bestellen.;De una primera selección a una propuesta para su empresa. Confirmamos la disponibilidad, los precios y la entrega antes de que haga su pedido.;Od pierwszego wyboru do oferty dla Twojej firmy. Przed złożeniem zamówienia potwierdzamy dostępność, ceny i warunki dostawy.;Da sua primeira seleção a uma proposta para a sua empresa. Confirmamos a disponibilidade, os preços e a entrega antes de efetuar a encomenda.;İlk seçiminizden işletmenize özel bir teklife. Sipariş vermeden önce stok durumunu, fiyatları ve teslimatı teyit ediyoruz.;Από την πρώτη σας επιλογή σε μια πρόταση για την επιχείρησή σας. Επιβεβαιώνουμε τη διαθεσιμότητα, τις τιμές και την παράδοση πριν υποβάλετε την παραγγελία σας.
CATALOG;catalog.brochure.buying.one.title;Buying step one title;true;Kies uw assortiment;Choisissez votre assortiment;Choose your range;Wählen Sie Ihr Sortiment;Elija su surtido;Wybierz swój asortyment;Escolha a sua gama;Ürün yelpazenizi seçin;Επιλέξτε τα προϊόντα σας
CATALOG;catalog.brochure.buying.one.body;Buying step one body;true;Noteer artikelnummers, kleuren en aantallen, of maak uw selectie online.;Notez les références, les couleurs et les quantités, ou faites votre sélection en ligne.;Note item numbers, colours and quantities, or build your selection online.;Notieren Sie Artikelnummern, Farben und Mengen oder stellen Sie Ihre Auswahl online zusammen.;Anote las referencias, los colores y las cantidades, o haga su selección en línea.;Zapisz numery artykułów, kolory i ilości lub przygotuj swój wybór online.;Anote as referências, as cores e as quantidades, ou faça a sua seleção online.;Ürün kodlarını, renkleri ve miktarları not edin veya seçiminizi çevrimiçi oluşturun.;Σημειώστε τους κωδικούς προϊόντων, τα χρώματα και τις ποσότητες ή κάντε την επιλογή σας online.
CATALOG;catalog.brochure.buying.two.title;Buying step two title;true;Ontvang uw voorstel;Recevez votre proposition;Receive your proposal;Erhalten Sie Ihr Angebot;Reciba su propuesta;Otrzymaj ofertę;Receba a sua proposta;Teklifinizi alın;Λάβετε την πρότασή σας
CATALOG;catalog.brochure.buying.two.body;Buying step two body;true;U krijgt een offerte met handelsprijzen, verpakkingseenheden en de afgesproken levering.;Vous recevez un devis précisant les tarifs professionnels, les unités de conditionnement et la livraison convenue.;Receive a quotation with trade prices, pack quantities and the agreed delivery.;Sie erhalten ein Angebot mit Handelspreisen, Verpackungseinheiten und der vereinbarten Lieferung.;Reciba un presupuesto con precios mayoristas, unidades de embalaje y la entrega acordada.;Otrzymasz ofertę z cenami hurtowymi, ilościami w opakowaniach i uzgodnionymi warunkami dostawy.;Receba um orçamento com preços de revenda, quantidades por embalagem e a entrega acordada.;Toptan fiyatları, ambalaj içi adetleri ve kararlaştırılan teslimatı içeren bir teklif alın.;Λάβετε προσφορά με τιμές χονδρικής, ποσότητες ανά συσκευασία και τη συμφωνημένη παράδοση.
CATALOG;catalog.brochure.buying.three.title;Buying step three title;true;Bevestig uw bestelling;Confirmez votre commande;Confirm your order;Bestätigen Sie Ihre Bestellung;Confirme su pedido;Potwierdź zamówienie;Confirme a sua encomenda;Siparişinizi onaylayın;Επιβεβαιώστε την παραγγελία σας
CATALOG;catalog.brochure.buying.three.body;Buying step three body;true;Na uw akkoord bereiden we de bestelling voor volgens de bevestigde afspraken.;Après votre accord, nous préparons la commande selon les modalités confirmées.;After your approval, we prepare the order in line with the confirmed details.;Nach Ihrer Freigabe bereiten wir die Bestellung gemäß den bestätigten Vereinbarungen vor.;Tras su aprobación, preparamos el pedido según las condiciones confirmadas.;Po Twojej akceptacji przygotujemy zamówienie zgodnie z potwierdzonymi ustaleniami.;Após a sua aprovação, preparamos a encomenda de acordo com as condições confirmadas.;Onayınızın ardından siparişi teyit edilen koşullara göre hazırlıyoruz.;Μετά την έγκρισή σας, ετοιμάζουμε την παραγγελία σύμφωνα με όσα έχουν επιβεβαιωθεί.
CATALOG;catalog.brochure.buying.cta;Buying call to action;true;Start uw offerteaanvraag;Demandez votre devis;Start your quote request;Starten Sie Ihre Angebotsanfrage;Solicite su presupuesto;Poproś o ofertę;Peça o seu orçamento;Teklif talebinizi başlatın;Ξεκινήστε το αίτημά σας για προσφορά
CATALOG;catalog.brochure.buying.ctaNote;Buying call to action note;true;Scan de code of neem rechtstreeks contact op.;Scannez le code ou contactez-nous directement.;Scan the code or contact us directly.;Scannen Sie den Code oder kontaktieren Sie uns direkt.;Escanee el código o contacte con nosotros directamente.;Zeskanuj kod lub skontaktuj się z nami bezpośrednio.;Leia o código ou contacte-nos diretamente.;Kodu tarayın veya doğrudan bizimle iletişime geçin.;Σαρώστε τον κωδικό ή επικοινωνήστε απευθείας μαζί μας.
CATALOG;catalog.brochure.buying.imagealt;Buying image alternative text;true;Rode rozen en geschenkverpakkingen klaar voor ordervoorbereiding;Roses rouges et emballages cadeaux disposés pour la préparation des commandes;Red roses and gift packaging arranged for order preparation;Rote Rosen und Geschenkverpackungen für die Auftragsvorbereitung bereitgestellt;Rosas rojas y embalajes de regalo preparados para organizar los pedidos;Czerwone róże i opakowania prezentowe przygotowane do kompletowania zamówień;Rosas vermelhas e embalagens de presente dispostas para a preparação de encomendas;Sipariş hazırlığı için düzenlenmiş kırmızı güller ve hediye ambalajları;Κόκκινα τριαντάφυλλα και συσκευασίες δώρων έτοιμα για την προετοιμασία παραγγελιών
CATALOG;catalog.brochure.palette.kicker;Colour palette kicker;true;Kleur & maatwerk;Couleur & personnalisation;Colour & customisation;Farbe & Individualisierung;Color y personalización;Kolor i personalizacja;Cor e personalização;Renk ve kişiselleştirme;Χρώμα και εξατομίκευση
